Security Segment,Panel,CR,Gap Score,W0,W-1,W-2,W-3,W-4,W-5,M0,M-1,M-2,M-3,M-4,M-5,Q0,Q-1,Q-2,Q-3,Q-4,Q-5,Q-6,Q-7
,Panel 5,,16.8%,-21.4%,149.0%,-43.1%,15.4%,28.9%,6.2%,-21.2%,17.2%,6.1%,8.7%,1.7%,-9.1%,-21.2%,10.0%,-6.8%,0.4%,-1.2%,-4.6%,7.2%,0.5%
,Panel 5,,20.0%,39.1%,-84.6%,-95.9%,-80.6%,-87.9%,-47.9%,,-88.2%,-15.4%,2.8%,-76.0%,-18.4%,,-50.0%,-30.0%,66.7%,,26368.2%,5500.8%,911.3%
,Panel 5,,17.5%,,,,,,,,,,-66.6%,-77.4%,-49.3%,,-66.6%,-49.1%,65.8%,44.0%,-7.4%,-43.7%,-74.1%
,Panel 5,,0.0%,,,,,,,,,,,,,,,-23.9%,-87.0%,-69.9%,-34.7%,24.5%,51.7%
,Panel 5,,1.5%,-6.0%,-7.7%,20.1%,0.9%,11.7%,35.1%,6.7%,2.3%,7.2%,8.0%,7.4%,5.4%,5.4%,6.9%,3.8%,10.1%,2.9%,-4.8%,0.3%,-3.4%
,Panel 5,,9.6%,-31.8%,-20.6%,18.6%,-2.0%,6.8%,37.4%,-4.5%,16.4%,8.0%,29.7%,16.3%,4.1%,6.0%,15.6%,-1.9%,21.3%,13.2%,-21.5%,-2.6%,-19.1%
,Panel 5,,4.4%,26.7%,-15.4%,22.9%,2.1%,8.8%,32.4%,7.3%,-5.1%,13.1%,-9.5%,0.8%,10.8%,5.0%,0.6%,-0.1%,24.1%,7.8%,-5.1%,9.2%,-4.9%
,Panel 5,,0.2%,-11.7%,2.5%,9.6%,-21.1%,-3.5%,24.9%,-0.7%,-1.0%,-1.5%,1.2%,-3.1%,-0.3%,-1.1%,-0.8%,-1.3%,-3.2%,-10.4%,-4.3%,-1.1%,3.9%
,Panel 5,,24.9%,68.3%,140.5%,8.9%,-11.7%,19.7%,39.2%,27.9%,67.1%,52.5%,34.0%,23.2%,16.3%,49.0%,24.1%,-11.5%,22.1%,-6.4%,29.7%,8.7%,5.5%
,Panel 5,,2.3%,-28.6%,-31.4%,159.1%,103.0%,6.6%,108.4%,38.8%,38.1%,14.3%,30.1%,67.2%,4.2%,30.2%,32.5%,8.0%,19.1%,6.6%,41.6%,34.5%,10.4%
,Panel 5,,23.4%,-77.7%,,-3.0%,-45.0%,178.1%,-57.9%,81.6%,-31.5%,42.5%,98.1%,-24.1%,29.0%,0.5%,23.9%,-2.6%,-64.2%,20.2%,33.7%,79.0%,47.7%
,Panel 5,,41.9%,,-89.4%,329.1%,-75.9%,164.8%,32.4%,-22.3%,-66.2%,164.9%,39.1%,-40.4%,-59.2%,4.7%,-37.2%,107.6%,57.8%,106.6%,27.1%,66.4%,670.7%
,Panel 5,,26.6%,45.0%,-8.5%,-2.5%,12.8%,40.9%,36.9%,12.8%,-10.7%,9.9%,60.2%,23.8%,17.2%,4.0%,30.5%,10.1%,-4.8%,4.5%,-23.2%,-14.1%,-19.1%
,Panel 5,,10.6%,-20.8%,23.2%,-9.1%,-25.6%,-38.9%,151.7%,-11.5%,35.8%,18.8%,-9.3%,-4.0%,12.2%,11.2%,0.5%,4.3%,3.7%,-11.2%,-24.8%,-20.6%,24.9%
,Panel 5,,20.4%,-1.5%,-14.6%,24.8%,25.5%,57.9%,48.7%,20.0%,6.0%,22.0%,-9.9%,8.5%,-11.0%,15.8%,-4.6%,-0.4%,-17.4%,-5.5%,-3.5%,1.8%,4.0%
,Panel 5,,20.8%,-28.2%,-32.6%,-43.6%,91.1%,-16.6%,0.9%,-5.4%,16.0%,0.7%,33.9%,-24.8%,-37.8%,4.4%,-16.4%,-17.4%,-3.3%,-11.1%,-12.8%,-26.6%,-18.2%
,Panel 5,,10.6%,-27.6%,-12.5%,5.7%,53.1%,57.7%,94.5%,23.6%,-0.6%,9.2%,20.7%,17.5%,23.9%,10.3%,20.9%,6.4%,21.7%,14.2%,-10.5%,1.5%,-6.2%
,Panel 5,,8.7%,-15.9%,-14.6%,-22.1%,-4.1%,18.7%,5.0%,-5.5%,2.8%,-18.2%,3.5%,7.6%,-5.2%,-7.3%,1.4%,-1.8%,9.0%,2.4%,-10.4%,-7.7%,-12.7%
,Panel 5,,53.3%,,-87.0%,320.7%,-100.0%,30.7%,-96.6%,-29.5%,-82.6%,-64.5%,-67.6%,69.8%,20.8%,-63.1%,-9.8%,86.8%,37.3%,32.1%,-32.4%,28.2%,-16.0%
,Panel 5,,3.3%,5.4%,-1.3%,9.2%,4.6%,11.7%,-14.2%,2.6%,8.5%,1.7%,-1.1%,1.5%,-3.0%,2.6%,2.5%,-0.7%,2.2%,-0.6%,1.7%,3.1%,0.0%
,Panel 1,,1.8%,0.1%,7.9%,12.0%,9.3%,2.5%,-9.9%,-2.4%,9.9%,3.8%,-1.1%,2.3%,-1.2%,-2.4%,3.2%,1.4%,4.1%,2.7%,-0.4%,0.1%,-1.5%
,Panel 1,,10.6%,-9.4%,-9.7%,-10.3%,-7.6%,-5.5%,-0.2%,-13.3%,-6.8%,-5.5%,-2.3%,7.4%,4.6%,-13.3%,-4.8%,5.7%,5.3%,7.2%,3.9%,-5.8%,-2.0%
,Panel 1,,0.0%,,,,,,,,,,,-100.0%,-100.0%,,,-100.0%,-100.0%,-100.0%,-100.0%,-21.3%,7.8%
,Panel 1,,14.8%,16.5%,37.3%,15.4%,11.3%,-35.8%,7.5%,-2.6%,6.4%,10.3%,3.6%,16.8%,-24.2%,-2.6%,6.7%,-8.1%,3.7%,2.1%,18.2%,10.8%,-0.1%
,Panel 1,,2.3%,0.6%,9.5%,13.9%,10.3%,3.9%,-10.8%,-1.7%,11.2%,4.1%,-1.1%,1.9%,-1.1%,-1.7%,3.6%,1.3%,4.0%,2.5%,-0.9%,0.2%,-1.5%
,Panel 5,3.49,3.1%,0.0%,-4.8%,-8.4%,-5.1%,9.9%,-22.4%,-1.8%,-15.5%,-1.6%,-9.1%,-6.0%,-5.5%,-8.7%,-5.6%,-6.1%,-0.2%,-4.2%,5.5%,4.5%,3.1%
,Panel 1,,2.9%,-10.8%,-6.0%,-6.2%,-9.3%,24.4%,-27.2%,-0.2%,-20.9%,-4.0%,-11.8%,-8.1%,-5.0%,-11.0%,-8.1%,-6.7%,-1.2%,1.2%,2.4%,0.0%,-2.2%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,-99.8%,-99.8%,-90.6%
,Panel 5,,3.1%,0.0%,-4.8%,-8.4%,-5.1%,9.9%,-22.4%,-1.8%,-15.5%,-1.5%,-9.1%,-6.0%,-5.5%,-8.7%,-5.6%,-6.1%,-0.2%,-3.9%,5.9%,4.9%,3.7%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,-85.2%
,Panel 1,,2.9%,-10.8%,-6.0%,-6.2%,-9.3%,24.4%,-27.2%,-0.2%,-20.9%,-4.0%,-11.8%,-8.1%,-5.0%,-11.0%,-8.1%,-6.7%,-1.2%,1.2%,2.4%,0.0%,-2.2%
,Panel 1,2.17,2.9%,-10.8%,-6.0%,-6.2%,-9.3%,24.4%,-27.2%,-0.2%,-20.9%,-4.0%,-11.8%,-8.1%,-5.0%,-11.0%,-8.1%,-6.7%,-1.2%,1.6%,2.9%,0.5%,-1.6%
,Panel 3,1.93,1.3%,-8.2%,1.1%,-5.3%,-1.2%,6.5%,-22.2%,-1.2%,-11.0%,-2.5%,-8.1%,-2.2%,1.2%,-5.8%,-4.5%,-2.8%,2.1%,-1.9%,11.9%,8.7%,8.9%
,Panel 5,,5.1%,8.9%,18.4%,16.6%,9.3%,0.5%,14.8%,20.8%,11.9%,15.2%,10.7%,13.1%,9.2%,20.8%,12.5%,7.5%,-5.7%,-6.1%,-2.6%,-1.8%,9.0%
,Panel 5,,4.9%,8.3%,14.3%,15.1%,8.6%,-0.6%,11.5%,20.7%,10.1%,12.7%,9.0%,11.1%,7.4%,20.7%,10.5%,5.6%,-7.4%,-7.1%,-2.6%,-1.8%,9.0%
,Panel 5,,5.8%,-74.6%,35.8%,33.5%,-36.5%,-13.7%,165.1%,-96.9%,13.2%,35.9%,-7.1%,31.0%,18.3%,-96.9%,13.3%,19.1%,17.3%,31.8%,50.4%,47.3%,59.4%
,Panel 3,1.73,5.2%,-8.8%,-0.6%,-14.8%,-12.8%,-5.5%,16.1%,-7.5%,-8.3%,-8.2%,-7.2%,1.3%,-2.7%,-8.3%,-3.1%,-1.5%,4.5%,-1.7%,2.7%,1.5%,1.9%
,Panel 5,2.77,3.9%,-14.6%,6.9%,-15.6%,-8.4%,-16.9%,23.6%,-15.3%,-9.5%,-8.0%,-3.3%,-11.5%,-3.1%,-10.0%,-6.1%,-8.5%,-4.2%,-7.9%,0.0%,-2.8%,-2.7%
,Panel 1,0.64,15.8%,16.0%,10.8%,-3.8%,1.9%,54.7%,-32.7%,-29.5%,17.0%,-22.2%,-8.6%,0.3%,29.6%,-29.5%,-1.3%,14.6%,28.0%,-1.4%,-16.7%,-5.1%,5.0%
,Panel 5,0.85,7.7%,65.0%,35.6%,3.1%,-0.1%,35.0%,-26.0%,-0.3%,17.3%,-19.9%,1.8%,-1.0%,16.2%,-0.3%,1.3%,9.1%,23.0%,0.4%,-8.6%,7.8%,2.3%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,0.5%,17.0%,38.6%,20.0%,10.6%,48.3%,-18.6%,50.9%,33.1%,-2.9%,54.1%,31.4%,76.9%,50.9%,23.0%,22.5%,43.1%,-9.9%,-49.6%,-7.0%,-1.8%
,Panel 5,,11.1%,329.3%,96.0%,93.1%,97.0%,168.1%,-17.3%,203.5%,122.2%,31.9%,75.4%,59.3%,67.1%,203.5%,75.2%,64.2%,116.8%,34.6%,72.4%,63.6%,32.5%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,4.4%,242.5%,24.9%,-56.8%,35.4%,27.6%,-51.8%,21.8%,-5.0%,-36.7%,4.5%,4.2%,-13.1%,21.8%,-13.9%,-9.4%,-16.1%,-21.1%,-17.6%,-6.0%,-12.3%
,Panel 5,,6.0%,64.7%,-13.8%,43.9%,10.3%,76.4%,-64.9%,-60.2%,28.8%,-26.3%,1.6%,19.2%,0.0%,-60.2%,0.7%,6.7%,15.0%,4.3%,-13.0%,-0.2%,-6.8%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,-100.0%,-100.0%,-100.0%,,518.7%
,Panel 5,,5.3%,63.5%,32.9%,-0.6%,-5.4%,27.6%,-26.0%,-8.5%,11.5%,-24.6%,-15.2%,-22.7%,-8.9%,-8.5%,-5.5%,-10.8%,-5.5%,-0.5%,-1.9%,2.8%,1.2%
,Panel 1,1.46,2.0%,-1.7%,-7.8%,-5.8%,-2.9%,-23.2%,44.6%,-8.6%,-1.3%,-5.9%,-6.0%,-3.2%,-4.9%,2.7%,-6.4%,-4.4%,-0.9%,-5.1%,-6.4%,-8.4%,-9.9%
,Panel 5,1.78,0.2%,0.6%,-4.8%,-1.9%,-5.3%,-6.4%,48.3%,-3.8%,-0.4%,-3.2%,-3.0%,-1.7%,-3.8%,1.1%,-2.9%,-2.7%,-2.1%,-5.8%,-6.1%,-5.6%,-6.6%
,Panel 3,1.68,0.1%,4.8%,-0.3%,-3.2%,-6.0%,-5.3%,36.8%,-1.7%,-1.4%,-1.8%,-3.8%,-3.0%,-7.5%,20.4%,-4.3%,-4.2%,-2.3%,-4.9%,-4.2%,-2.9%,-3.8%
,Panel 5,,0.4%,1.9%,-3.8%,-1.5%,-4.5%,-6.4%,48.7%,-3.1%,0.4%,-2.2%,-2.0%,-0.6%,-2.8%,2.5%,-2.1%,-1.7%,-0.9%,-4.5%,-5.2%,-5.0%,-6.0%
,Panel 5,,0.8%,-35.5%,-42.6%,-40.9%,-36.2%,-7.0%,-17.2%,-45.0%,-31.8%,-21.1%,-22.6%,-19.3%,-17.4%,-26.8%,-19.8%,-19.0%,-14.6%,-14.1%,-8.1%,-1.3%,-1.6%
,Panel 5,,10.8%,-65.0%,-47.9%,-36.8%,-50.5%,14.6%,-31.7%,-88.8%,-31.9%,-42.1%,-41.3%,0.5%,-17.5%,-38.9%,-21.4%,-10.6%,-9.2%,-14.8%,-7.5%,-0.4%,10.4%
,Panel 5,,10.0%,-14.8%,-44.6%,-50.9%,-49.8%,-31.2%,-46.1%,-59.2%,-42.5%,-33.8%,-32.3%,-38.4%,-27.7%,-38.4%,-33.0%,-23.0%,-17.8%,-20.3%,-9.4%,-6.7%,-18.1%
,Panel 5,,4.3%,-35.7%,-40.7%,-38.3%,-28.8%,-4.1%,-7.9%,-33.3%,-28.4%,-13.0%,-14.9%,-17.2%,-14.4%,-21.0%,-15.3%,-19.6%,-14.8%,-12.0%,-7.8%,0.3%,2.6%
,Panel 5,1.07,81.1%,5.6%,9.5%,-11.3%,-5.0%,-17.6%,46.8%,1.2%,-6.2%,14.9%,9.0%,-7.4%,3.0%,79.4%,14.1%,2.3%,83.4%,61.4%,21.2%,92.6%,4.0%
,Panel 5,,2.3%,30.6%,6.5%,-4.0%,9.9%,13.8%,47.6%,88.1%,5.3%,37.6%,26.9%,6.6%,35.5%,155.9%,33.6%,23.1%,20.8%,22.0%,-10.4%,11.3%,29.8%
,Panel 5,,2.2%,30.6%,7.2%,-4.0%,9.9%,13.8%,47.9%,88.1%,5.4%,37.7%,26.9%,6.7%,35.6%,155.9%,33.6%,23.1%,20.9%,22.1%,-10.4%,11.3%,29.8%
,Panel 5,,5.9%,21.6%,38.1%,15.6%,18.3%,-6.1%,26.2%,34.6%,11.1%,36.6%,25.2%,20.6%,19.8%,66.6%,35.4%,21.6%,27.4%,24.9%,-13.3%,24.7%,39.3%
,Panel 5,,5.5%,21.5%,37.9%,15.5%,18.2%,-6.3%,26.1%,34.6%,10.9%,36.0%,23.5%,20.0%,19.5%,66.6%,34.4%,21.2%,26.8%,24.0%,-13.2%,24.6%,39.4%
,Panel 5,,2.0%,6.9%,-7.5%,-19.4%,-15.5%,-34.1%,106.6%,-31.6%,-16.1%,7.4%,-10.4%,-17.8%,12.0%,55.7%,-1.4%,9.2%,7.2%,10.1%,-1.8%,7.9%,11.7%
,Panel 5,,2.1%,6.9%,-7.5%,-19.4%,-15.5%,-34.1%,106.6%,-31.6%,-16.1%,7.4%,-10.4%,-17.8%,12.0%,55.7%,-1.4%,9.2%,7.1%,9.9%,-1.9%,7.7%,11.7%
,Panel 5,,9.4%,-24.7%,34.5%,-21.3%,-14.9%,-25.7%,5.9%,-32.8%,-9.4%,-11.0%,5.1%,-6.7%,-10.9%,42.4%,4.4%,-5.3%,4.1%,17.2%,-14.5%,7.6%,12.9%
,Panel 5,,9.4%,-24.7%,34.5%,-21.3%,-14.9%,-25.7%,5.9%,-32.8%,-9.4%,-11.0%,5.1%,-6.7%,-10.9%,42.4%,4.4%,-5.3%,4.0%,17.0%,-14.6%,7.5%,12.8%
,Panel 5,,12.0%,22.7%,26.8%,-11.5%,-49.6%,51.5%,61.5%,-6.0%,-3.2%,12.8%,-26.0%,7.8%,-17.0%,212.1%,2.8%,-0.9%,-12.9%,-17.3%,-24.8%,-12.5%,-22.2%
,Panel 5,,12.1%,22.7%,27.0%,-12.2%,-49.3%,52.6%,61.5%,-6.0%,-3.1%,12.9%,-25.9%,8.3%,-16.8%,212.1%,2.9%,-0.7%,-12.7%,-17.2%,-24.8%,-12.5%,-22.2%
,Panel 1,,2.1%,4.6%,20.0%,4.4%,9.4%,-5.8%,23.5%,6.6%,8.5%,7.2%,8.7%,13.7%,10.9%,7.6%,9.7%,8.9%,13.3%,10.6%,6.2%,13.1%,8.1%
,Panel 5,3.28,1.9%,8.3%,16.3%,4.3%,7.0%,4.4%,16.8%,7.9%,6.2%,8.8%,8.0%,10.7%,9.6%,7.2%,9.1%,9.6%,12.3%,11.3%,10.1%,11.8%,9.6%
,Panel 3,5.19,1.4%,9.4%,13.9%,6.2%,7.5%,3.9%,19.8%,8.1%,7.5%,8.8%,7.8%,11.6%,10.1%,7.8%,9.3%,9.2%,9.2%,9.2%,9.2%,12.1%,10.8%
,Panel 1,,1.6%,-1.1%,-6.9%,-6.6%,-12.0%,-21.6%,25.4%,13.1%,-11.9%,1.9%,-4.0%,-7.8%,-5.7%,-2.7%,-5.2%,-6.8%,-6.2%,-7.4%,-5.7%,-5.9%,-7.6%
,Panel 5,1.20,0.3%,-1.7%,-3.4%,-8.8%,-8.5%,-11.5%,14.4%,-0.3%,-8.8%,-2.4%,-6.5%,-6.9%,-4.9%,0.3%,-6.2%,-5.9%,-4.3%,-4.3%,-2.0%,-1.0%,-3.6%
,Panel 5,,0.5%,-1.0%,-4.3%,-10.9%,-8.3%,-11.4%,-5.6%,1.4%,-9.7%,-3.6%,-11.7%,-8.1%,-8.6%,3.7%,-8.8%,-8.3%,-7.5%,-6.3%,-3.6%,-0.7%,-3.6%
,Panel 5,,0.8%,0.5%,-2.8%,-9.4%,-6.8%,-9.9%,-3.6%,2.4%,-8.2%,-1.7%,-10.0%,-7.5%,-8.3%,5.2%,-7.1%,-8.0%,-7.3%,-6.0%,-3.3%,-0.5%,-3.4%
,Panel 5,,0.2%,-2.6%,-2.7%,-5.4%,-8.7%,-11.7%,47.0%,-1.7%,-7.5%,-0.5%,1.9%,-5.1%,0.9%,-3.5%,-2.5%,-2.3%,0.9%,-1.1%,0.6%,-1.4%,-3.5%
,Panel 5,,0.5%,-2.3%,-1.9%,-4.2%,-7.8%,-11.0%,48.5%,-2.3%,-6.6%,0.9%,3.0%,-3.8%,2.3%,-3.4%,-1.4%,-0.9%,2.7%,0.7%,1.8%,-0.7%,-3.1%
,Panel 1,1.40,2.2%,-4.5%,-6.8%,-7.5%,-15.6%,-20.2%,-0.4%,8.8%,-13.0%,-1.5%,-10.3%,-11.3%,-11.6%,-5.4%,-8.7%,-10.9%,-10.7%,-11.1%,-9.9%,-7.5%,-9.4%
,Panel 1,1.17,0.8%,1.8%,-7.0%,-5.6%,-8.1%,-22.9%,54.6%,16.8%,-10.9%,5.2%,2.9%,-4.2%,0.6%,-0.3%,-1.7%,-2.6%,-1.2%,-3.4%,-1.2%,-4.3%,-5.5%
,Panel 3,1.75,1.3%,-8.8%,-2.3%,-5.0%,-7.7%,-15.5%,2.5%,-8.7%,-5.8%,-4.5%,-13.5%,3.3%,-10.8%,-9.1%,-6.2%,-7.5%,-8.5%,-8.7%,-6.7%,-1.7%,-3.8%
,Panel 3,0.62,0.3%,-7.9%,-3.1%,-7.3%,-7.3%,-4.8%,23.4%,-12.6%,-3.5%,-3.7%,-1.6%,11.6%,-2.1%,-8.2%,-0.3%,-0.6%,-0.6%,-1.0%,1.9%,-0.7%,-2.3%
,Panel 5,,14.7%,53.1%,58.8%,60.3%,61.1%,59.7%,56.1%,59.8%,53.3%,34.9%,43.1%,31.4%,30.8%,53.1%,49.0%,34.2%,30.1%,4.5%,2.1%,2.4%,1.2%
,Panel 5,,11.8%,58.0%,-12.3%,11.3%,18.1%,29.2%,-0.2%,14.3%,3.4%,-9.2%,-16.4%,-18.8%,8.5%,58.0%,1.6%,-10.2%,-7.6%,-5.8%,1.8%,0.0%,2.9%
,Panel 5,,6.3%,20.9%,5.0%,15.5%,14.4%,12.0%,4.6%,13.4%,1.3%,1.9%,5.9%,-4.3%,-2.8%,20.9%,5.1%,-1.2%,0.4%,2.5%,2.3%,3.2%,1.8%
,Panel 5,,5.9%,66.2%,44.5%,16.5%,32.8%,15.7%,28.7%,22.0%,-5.3%,6.1%,-2.5%,9.9%,-1.3%,66.2%,7.8%,1.8%,3.0%,-4.6%,-3.9%,-9.7%,-16.0%
,Panel 5,,531.4%,87.7%,219.8%,223.7%,1424.0%,245.3%,206.2%,487.1%,763.1%,378.6%,514.9%,1153.2%,1759.1%,87.7%,539.6%,1071.0%,,,,,
,Panel 5,,2.8%,21.2%,64.0%,47.7%,43.5%,42.5%,69.9%,49.7%,49.4%,47.1%,46.5%,46.6%,44.2%,21.2%,48.3%,45.4%,49.1%,50.9%,50.5%,48.7%,49.2%
,Panel 5,,2.7%,-0.4%,-2.6%,-7.8%,-4.2%,13.8%,3.9%,2.4%,-0.8%,0.5%,-4.4%,-4.0%,-3.8%,2.4%,-1.7%,-4.4%,-6.5%,-7.4%,-6.2%,-5.5%,-4.8%
,Panel 1,,2.1%,-9.7%,-6.9%,-14.4%,-11.9%,-1.2%,0.0%,-8.6%,-9.0%,-1.4%,-7.9%,-8.5%,-7.9%,-8.6%,-6.4%,-8.5%,-10.3%,-10.2%,-9.4%,-8.6%,-7.1%
,Panel 5,,3.1%,-1.3%,-3.8%,-8.5%,-2.6%,12.3%,2.7%,0.8%,-1.4%,-0.1%,-5.1%,-4.6%,-5.0%,0.8%,-2.3%,-5.4%,-7.7%,-9.0%,-8.5%,-7.9%,-8.1%
,Panel 5,,0.9%,6.9%,6.3%,-1.9%,-14.4%,24.5%,13.7%,18.6%,3.3%,5.0%,1.2%,-0.2%,6.7%,18.6%,3.1%,3.9%,4.0%,7.0%,16.9%,20.4%,39.2%
,Panel 1,0.21,2.1%,-9.7%,-6.9%,-14.4%,-11.9%,-1.2%,0.0%,-8.6%,-9.0%,-1.4%,-7.9%,-8.5%,-7.9%,-8.6%,-6.4%,-8.5%,-10.3%,-10.2%,-9.4%,-8.6%,-7.1%
,Panel 3,1.49,3.7%,7.7%,21.3%,-5.8%,-0.3%,34.2%,-2.5%,9.8%,-10.9%,3.5%,6.2%,5.9%,2.8%,1.7%,5.4%,3.5%,0.9%,-8.4%,-5.0%,0.8%,4.6%
,Panel 5,1.72,2.4%,12.2%,25.8%,-3.6%,-4.2%,24.1%,9.0%,8.0%,-17.5%,-4.8%,0.9%,2.5%,-1.8%,-2.5%,-0.1%,-0.9%,-4.2%,-10.4%,-7.9%,-4.9%,-0.3%
,Panel 1,,2.1%,3.6%,25.0%,-3.4%,-2.6%,33.5%,-0.1%,10.2%,-18.1%,-2.6%,1.4%,3.3%,-1.2%,-1.2%,1.0%,0.0%,-3.2%,-4.6%,-10.5%,-6.5%,-1.7%
,Panel 5,,2.7%,13.6%,26.8%,-3.1%,-3.6%,24.2%,9.4%,8.6%,-17.2%,-4.3%,1.7%,3.8%,-1.3%,-2.0%,0.7%,-0.5%,-3.4%,-10.0%,-7.4%,-4.5%,-0.4%
,Panel 5,,29.9%,-55.9%,-42.5%,-51.7%,-58.4%,-25.4%,-17.9%,-46.6%,-51.2%,-43.8%,-6.5%,-5.8%,-3.8%,-48.7%,-18.8%,-3.5%,-20.3%,-29.2%,-27.2%,-33.1%,-21.2%
,Panel 5,,11.3%,-5.7%,19.2%,-5.2%,1.1%,44.9%,2.7%,9.4%,-15.4%,-2.1%,-9.6%,-16.9%,-9.2%,0.2%,-11.2%,-6.4%,-12.1%,-14.3%,-11.1%,-5.4%,5.7%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 1,1.97,2.1%,3.6%,25.0%,-3.4%,-2.6%,33.5%,-0.1%,10.2%,-18.1%,-2.6%,1.4%,3.3%,-1.2%,-1.2%,1.0%,0.0%,-3.2%,-4.6%,-10.5%,-6.5%,-1.7%
,Panel 1,0.69,26.6%,-0.3%,11.6%,2.1%,-17.0%,-6.3%,-26.8%,-3.5%,-18.5%,10.2%,16.2%,11.5%,16.7%,-10.1%,16.5%,10.7%,18.6%,7.8%,15.9%,24.6%,6.8%
,Panel 5,1.26,6.4%,21.0%,16.9%,25.4%,-7.8%,18.7%,-16.1%,12.2%,-20.3%,-0.3%,1.3%,7.7%,15.7%,-0.6%,5.7%,10.3%,9.0%,11.2%,20.8%,16.6%,11.5%
,Panel 1,,1.9%,-0.6%,16.7%,2.8%,3.4%,-14.8%,-12.5%,0.6%,-1.7%,0.7%,1.3%,3.8%,1.8%,0.0%,1.9%,4.7%,8.3%,10.0%,6.3%,4.4%,3.3%
,Panel 5,3.86,1.8%,1.9%,17.4%,-0.3%,3.8%,-2.5%,-6.7%,3.5%,-1.9%,2.5%,2.0%,4.7%,2.5%,1.2%,3.0%,3.5%,5.3%,-2.4%,2.8%,2.0%,2.0%
,Panel 5,,78.9%,-94.4%,-98.3%,-97.6%,-90.8%,-93.2%,-97.3%,-94.9%,-52.0%,-2.5%,5.1%,0.2%,-3.3%,-77.8%,1.0%,-72.7%,-81.2%,-82.5%,-81.9%,-36.3%,17.4%
,Panel 5,,1.7%,10.4%,31.8%,3.8%,7.3%,0.5%,-12.3%,8.2%,-0.1%,6.2%,5.5%,7.8%,4.9%,4.6%,6.4%,6.4%,7.8%,0.8%,6.8%,6.7%,7.9%
,Panel 5,,2.3%,-6.0%,3.7%,-8.1%,-2.7%,-7.8%,3.6%,-3.9%,-4.7%,-3.0%,-3.0%,0.6%,-0.6%,-4.2%,-1.9%,0.5%,3.6%,-5.4%,-0.8%,-2.9%,-5.2%
,Panel 1,1.41,1.9%,-0.6%,16.7%,2.8%,3.4%,-14.8%,-12.5%,0.6%,-1.7%,0.7%,1.3%,3.8%,1.8%,0.0%,1.9%,4.7%,8.3%,10.0%,6.3%,4.4%,3.3%
,Panel 1,,2.1%,1.8%,23.5%,5.3%,5.7%,-14.0%,-15.3%,2.9%,-0.7%,2.3%,4.1%,5.2%,3.2%,1.7%,3.8%,6.3%,9.7%,12.2%,8.9%,6.4%,6.5%
,Panel 1,,2.2%,-9.4%,-3.7%,-12.0%,-10.2%,-20.6%,3.8%,-11.2%,-7.5%,-7.5%,-11.2%,-2.2%,-3.7%,-9.4%,-7.2%,-1.7%,2.1%,-0.2%,-4.1%,-2.7%,-9.5%
,Panel 3,2.28,1.8%,-3.2%,13.3%,0.8%,2.6%,-7.2%,-4.3%,1.1%,-2.8%,1.5%,-0.1%,3.1%,1.5%,-0.4%,1.4%,2.3%,3.6%,-2.6%,5.1%,4.8%,4.7%
,Panel 3,1.54,2.3%,0.4%,23.9%,3.8%,6.4%,-5.2%,-8.4%,5.1%,-1.4%,4.2%,4.2%,6.6%,4.2%,2.5%,4.9%,5.3%,4.9%,-0.8%,7.4%,7.5%,10.0%
,Panel 3,1.09,1.8%,-8.9%,-5.4%,-9.0%,-8.6%,-12.8%,6.6%,-8.9%,-6.2%,-4.7%,-8.9%,-3.8%,-3.6%,-7.8%,-6.1%,-3.4%,1.1%,-6.5%,0.4%,0.0%,-4.7%
,Panel 1,0.74,1.1%,-1.9%,6.4%,2.7%,-0.8%,-13.0%,14.0%,5.5%,-2.3%,7.3%,1.0%,0.1%,1.7%,-1.9%,1.9%,0.9%,2.0%,1.1%,-2.4%,-2.4%,-2.5%
,Panel 5,1.00,0.7%,5.7%,14.5%,2.7%,3.2%,-1.0%,12.6%,7.3%,3.4%,9.4%,5.0%,3.6%,6.6%,5.7%,6.0%,5.3%,6.3%,6.4%,4.2%,5.4%,5.5%
,Panel 3,0.71,0.4%,3.7%,10.4%,4.0%,2.6%,1.0%,11.7%,-7.1%,7.4%,4.5%,-0.7%,13.7%,2.7%,3.7%,5.3%,4.9%,5.9%,4.7%,2.9%,5.6%,5.0%
,Panel 5,,2.7%,8.9%,-6.5%,-11.8%,-1.6%,-6.3%,13.9%,28.9%,-6.4%,3.4%,-0.4%,-1.6%,1.6%,8.9%,-1.3%,1.4%,-4.4%,-6.3%,-5.1%,-2.0%,-2.3%
,Panel 5,,3.4%,12.3%,-4.4%,-10.0%,-0.4%,-4.0%,14.2%,32.0%,-4.3%,5.7%,1.0%,0.0%,3.7%,12.3%,0.5%,3.9%,-1.9%,-3.7%,-2.8%,0.1%,-0.8%
